加速度X：	 加速度Y：	 加速度Z：	角速度X：	 角速度Y：	 角速度Z：	 地磁X：	 地磁Y：	 地磁Z：
16.314	-0.671654	-7.658710000000001	3.53366	1.95481	-2.17288	-56.0827	-28.2144	25.7273
14.5915	1.21991	-6.58104	4.02153	1.83837	-2.1593	-56.1839	-29.1988	25.3463
13.0392	4.26239	-4.37284	4.06278	1.73986	-2.11757	-56.0689	-28.9919	26.0902
11.8281	5.67033	-3.08445	3.98305	1.91226	-1.85936	-55.5005	-29.7792	25.7059
10.1121	7.125210000000001	-0.416214	3.82568	2.37703	-1.3607200000000002	-56.0701	-29.7446	24.5969
8.238660000000001	5.36731	-2.85251	4.30119	2.38619	-1.13251	-55.9477	-30.4124	24.7125
6.27479	0.342557	-5.14161	4.6603	1.99128	-0.720134	-57.415	-29.5902	24.8571
5.68307	-2.21521	-6.37132	4.5578699999999985	1.67553	-0.23024	-57.8779	-28.6882	24.6229
6.3905699999999985	-1.92727	-6.04303	4.2362	1.6198	0.211887	-57.3175	-28.2764	25.3654
7.01155	0.282422	-4.97884	3.80006	1.91401	0.485268	-58.46100000000001	-27.3375	24.147
6.82015	2.99067	-4.2297699999999985	3.40971	2.17998	0.7057260000000001	-59.5873	-26.8583	24.2851
6.83316	5.04691	-4.857	3.0086	2.32219	0.943113	-60.6172	-26.0336	23.0645
7.50726	6.63449	-5.42569	2.49846	2.52	1.15238	-61.5434	-24.3367	22.3475
7.58142	7.057689999999999	-5.68475	2.1396900000000003	2.65707	1.35674	-61.8989	-23.8618	20.7464
7.20274	6.6634699999999984	-6.40796	2.0179400000000003	2.72059	1.55553	-63.7122	-22.9042	19.905
7.06323	5.8606099999999985	-7.38842	1.86352	2.6915400000000003	1.79984	-64.755	-21.0879	18.8189
7.43493	6.23765	-8.345130000000001	1.63808	2.68611	1.96855	-65.9134	-19.154	17.4874
7.52292	7.59817	-8.95538	1.57204	2.68458	2.12513	-66.5123	-17.2382	16.0274
6.8437	8.88258	-9.81861	1.62951	2.60014	2.31039	-67.3206	-16.0937	15.056
7.06728	9.3812	-10.2755	1.75158	2.36259	2.38411	-68.2534	-14.0623	14.095
7.78765	9.86511	-10.4776	2.07369	2.15283	2.3877200000000003	-68.4064	-12.0502	12.5086
7.95217	10.6514	-10.708	2.35798	1.88882	2.28988	-69.5558	-10.1312	12.291
7.96686	11.5133	-10.8471	2.70229	1.71253	2.23478	-69.3657	-8.68115	10.572
7.70976	12.3143	-11.3175	2.8818900000000003	1.4522	2.1312	-69.8485	-6.77589	9.606
7.18087	12.2074	-12.056	2.99345	1.27116	2.06914	-69.7635	-4.14763	10.8711
6.48851	11.4356	-12.3222	3.04081	1.05496	1.99949	-69.5791	-2.14903	9.40559
6.08269	10.5885	-12.3174	3.22553	0.895092	1.95672	-70.0578	-0.466163	8.561010000000001
5.90297	10.3013	-12.1641	3.3697	0.609617	1.95915	-70.639	0.881257	8.33257
5.73864	10.4073	-11.9517	3.52986	0.4546810000000001	1.91558	-69.5501	2.728	7.6007
5.31986	9.99946	-11.479	3.50977	0.224926	1.94173	-69.2375	4.48037	7.74061
4.75117	8.89594	-10.8821	3.52732	0.103084	2.00051	-68.9309	6.2426900000000005	7.13801
4.15318	7.53553	-10.0876	3.3676800000000005	-0.0217205	2.09817	-67.2761	8.16849	7.268789999999999
3.82537	6.26585	-9.35524	3.2408	-0.157882	2.158	-68.53	9.75532	7.41975
3.99504	5.45051	-8.23351	3.15062	-0.293515	2.23684	-66.543	11.1374	6.05667
4.22476	5.1645	-7.159210000000002	3.20002	-0.435512	2.33805	-66.2351	13.2208	6.20016
4.36324	4.98402	-6.3572	3.29072	-0.4855390000000001	2.4394400000000003	-66.1253	14.0832	7.44625
4.62055	4.48556	-5.8575	3.41529	-0.5764520000000001	2.62403	-64.6097	17.4593	6.7271899999999984
4.9374400000000005	4.16845	-5.49492	3.5058199999999995	-0.6834939999999999	2.71307	-63.9581	18.8721	6.61315
5.1959800000000005	4.03333	-4.72396	3.63805	-0.661035	2.81682	-63.6382	19.9656	6.4984199999999985
5.40857	4.29115	-4.1961900000000005	3.89103	-0.667798	2.87493	-63.0009	21.8331	5.39912
5.72653	5.15401	-3.65579	4.20769	-0.705563	2.90849	-61.912	23.6798	4.6672400000000005
6.22438	6.682239999999998	-3.2547	4.43492	-0.683956	2.8801400000000004	-60.7151	25.5293	3.43939
6.8704399999999985	8.0133	-3.32295	4.58226	-0.607038	2.89071	-58.8261	26.6763	3.43617
7.68053	9.05669	-3.663580000000001	4.66094	-0.539791	2.83561	-59.0851	28.4666	2.2196
8.67078	10.6143	-4.06737	4.56134	-0.398833	2.7705	-57.6489	29.0974	0.729237
9.03077	12.2929	-4.31685	4.40193	-0.224034	2.56455	-57.459	30.979	-0.242476
8.790339999999999	14.5161	-4.48921	3.825	-0.13383499999999998	2.39372	-56.8077	31.8532	-1.35249
8.16071	16.2555	-4.2947	3.34126	-0.052749300000000006	2.1442900000000003	-55.4852	32.8141	-2.46706
7.69659	17.5868	-4.00895	2.81772	-0.040536	1.85865	-55.3993	34.2549	-3.19507
7.20282	18.2981	-3.58483	2.34479	0.0110869	1.55382	-53.9496	33.7854	-4.94484
6.85832	18.2983	-3.34084	1.93324	-0.010071	1.18782	-53.9561	33.9041	-5.56241
6.42445	17.6333	-2.8672	1.6818799999999998	-0.0579706	0.832225	-54.0829	34.2557	-6.79541
5.82589	16.4995	-2.2247	1.47863	-0.08938760000000001	0.434375	-53.4139	34.7772	-6.30021
4.64029	14.9116	-1.83491	1.41443	-0.11738	0.0605557	-54.8841	35.1729	-7.274189999999999
2.6881	13.0209	-1.53089	1.35911	-0.224736	-0.191097	-53.2836	33.1261	-6.93778
-0.452644	15.7831	-5.5944699999999985	1.60966	-0.390283	-0.381836	-54.0612	32.4948	-7.18571
-0.891241	34.3301	-14.8237	3.58849	-2.03282	-1.31684	-54.9472	31.538	-7.56
34.6789	38.7604	2.27263	0.682063	-1.4142	-2.43176	-55.2527	29.5583	-7.207289999999999
32.9428	18.7603	23.2933	-2.00915	1.35495	-1.42032	-55.589	29.5701	-7.20441
6.10616	-11.4889	16.5558	-3.27911	1.0092	-1.59233	-56.3662	29.2616	-6.8300100000000015
12.7332	-16.9384	-0.625157	-1.32132	0.5466770000000001	-1.16456	-56.7997	28.2825	-6.7131300000000005
25.3769	-7.1261600000000005	-6.15742	2.31431	0.652651	-1.90393	-57.4551	26.4448	-7.84138
10.5686	1.26088	-9.4355	3.61946	0.139032	-2.08728	-56.4369	24.7771	-9.6004
5.97789	12.2762	-5.11788	1.58525	-0.0810717	-1.34162	-57.8739	23.7164	-8.981060000000003
8.4516	12.1436	-2.69382	0.353235	0.0353419	-1.2004	-58.4358	23.1992	-10.096
8.91825	4.66213	1.6715799999999998	-0.169674	0.101173	-0.989256	-58.9837	22.8745	-9.10474
9.22297	4.45173	2.71496	0.141055	0.132482	-0.8321719999999999	-58.747	21.768	-9.48982
9.25819	3.2086900000000003	0.433358	0.331358	0.0558582	-0.755192	-58.5196	21.3236	-9.86776
9.78926	3.73526	-1.94739	0.370424	0.0107947	-0.594813	-58.8507	20.8956	-9.99339
10.0587	4.203880000000002	-2.20762	0.287632	-0.0572707	-0.482235	-58.8405	20.4475	-9.50314
10.0769	3.78135	-1.41933	0.194358	-0.0781153	-0.394449	-59.2858	20.0268	-9.87532
10.9492	4.02383	-1.18258	0.0923479	-0.108824	-0.272906	-58.6208	20.3392	-10.2488
11.4758	4.31153	-1.01981	-0.05628430000000001	-0.0540143	-0.13808	-59.3996	20.3569	-9.49953
11.1883	3.50929	-1.46976	-0.185777	-0.13816199999999998	-0.0856436	-59.1836	21.0095	-9.37056
10.7822	2.99486	-1.5416299999999998	-0.217687	-0.134826	0.0348277	-59.6188	20.3564	-8.87885
10.0938	3.26772	-0.918305	-0.26653000000000004	-0.200801	0.0813447	-59.6253	20.4751	-9.49643
9.61557	3.6313	-0.356931	-0.189598	-0.169086	0.110991	-59.7405	20.484	-9.86672
9.47972	3.76719	-0.523134	-0.231387	-0.232297	0.207968	-59.5041	20.2405	-8.75725
9.10176	3.46392	-1.08015	-0.307191	-0.237044	0.266016	-59.5182	21.6653	-7.99926
8.79899	3.23631	-1.62268	-0.396571	-0.268665	0.347409	-59.4141	21.6746	-8.99024
8.91817	3.06969	-1.84981	-0.454019	-0.23189	0.398806	-59.4121	21.6713	-8.74274
9.33749	2.91816	-2.15425	-0.456429	-0.26097800000000004	0.476513	-59.746	21.7869	-8.24366
9.56252	2.75176	-2.21545	-0.549678	-0.197072	0.514678	-58.8447	22.0715	-7.13399
9.50283	2.57037	-2.1086	-0.583858	-0.207172	0.590117	-59.1913	22.5314	-7.621360000000001
9.50315	2.61584	-2.03308	-0.583374	-0.08973930000000001	0.628243	-58.6302	22.6187	-7.377460000000001
9.5785	2.57056	-1.97279	-0.505069	-0.148208	0.663349	-58.6452	23.8295	-7.11687
9.66824	2.28311	-2.04802	-0.540469	-0.087878	0.711873	-58.9899	24.5018	-6.9831
9.57711	1.63248	-2.2422	-0.5620569999999999	-0.0983026	0.727474	-58.7744	25.0474	-7.10282
9.51754	1.20915	-2.08917	-0.569213	-0.112972	0.7722180000000001	-58.2128	25.0261	-6.983860000000001
9.69886	1.40611	-1.8486	-0.515586	-0.06128110000000001	0.7704810000000001	-58.2252	25.909	-6.97434
9.91047	1.5729	-1.54756	-0.465311	-0.0903488	0.80185	-57.5414	25.6513	-5.99245
9.98488	1.54246	-1.7143400000000002	-0.4748810000000001	-0.0465643	0.834533	-57.7873	27.2043	-5.97388
9.92398	1.55734	-1.91082	-0.4511439999999999	-0.0216698	0.811984	-58.1151	27.3099	-4.73228
9.68371	1.63293	-1.89466	-0.482708	-0.0237012	0.81976	-58.0233	27.9864	-6.0873800000000005
9.66922	1.51209	-1.75797	-0.5351319999999999	-0.0119927	0.8268209999999999	-57.576	28.4038	-5.46769
9.72877	1.60269	-1.8948	-0.605646	0.0234876	0.795459	-56.5814	29.2546	-5.71431
9.54846	1.22454	-1.87749	-0.806192	0.0598633	0.861442	-56.457	28.5835	-5.35115
9.30826	0.8313149999999999	-1.81441	-0.7015279999999999	0.0626024	0.7892710000000001	-56.1342	29.8878	-4.7209900000000005
8.856630000000003	0.528458	-2.02293	-0.720427	0.0576077	0.79075	-56.8104	30.0251	-4.96155
8.4823	0.619479	-1.7336599999999998	-0.610211	0.042134500000000005	0.777504	-55.9111	30.3131	-4.09938
8.57418	0.816624	-1.32613	-0.634659	-0.00325016	0.782528	-56.2696	31.763	-4.32854
8.83003	1.16466	-1.2378	-0.559988	-0.0667179	0.795521	-55.1505	31.9426	-4.212
9.11552	1.64871	-1.25601	-0.553087	-0.0898099	0.787445	-55.1471	32.0447	-3.5920400000000003
9.25152	1.81533	-1.07565	-0.67378	-0.0582139	0.827598	-54.8215	32.5897	-3.96023
9.17642	1.83044	-1.0753	-0.906271	-0.058449	0.860857	-54.4956	33.6732	-3.33245
9.04217	1.18037	-0.800057	-0.926179	-0.06322749999999999	0.807194	-54.2878	34.7706	-3.44622
8.952069999999997	-0.0597808	-0.704778	-0.982869	-0.0174065	0.7287	-54.3956	35.0907	-2.32791
9.29404	-1.02867	-1.49051	-0.918582	-0.0239325	0.643733	-54.1755	35.521	-2.07757
9.17154	-2.39052	-1.95467	-0.60758	0.0415415	0.52149	-53.611	34.5246	-3.3306
9.66608	-3.0562	-2.19732	-0.252911	-0.0398437	0.342056	-53.8325	34.959	-2.21014
10.2958	-2.05825	-2.55198	-0.00219899	-0.0463202	0.205589	-53.6212	36.1585	-1.70396
10.3857	-1.045	-2.6768	-0.0648334	0.164758	0.0640349	-53.6181	35.722	-2.07998
9.49874	-1.51424	-2.8068	-0.12366	0.260543	-0.128218	-53.169	35.3818	-2.5824
9.04555	-2.483	-3.34614	-0.202281	0.325884	-0.34444	-54.4002	35.4218	-2.3243400000000003
9.87274	-2.34642	-3.12395	-0.176938	0.444448	-0.555163	-54.4003	35.6376	-1.9507
